476			Žlugo vakarų Romos imperija, prasideda viduramžiai.	https://lt.wikipedia.org/wiki/Ankstyvieji_viduram%C5%BEiai
854			kuršių karas su švedais Apuolės pilis	https://lt.wikipedia.org/wiki/Apuol%C4%97#Istorija
1009			Kvedliburgo analai ,paminėtas Lietuvos vardas	https://lt.wikipedia.org/wiki/Kvedlinburgo_analai
1054			Krikščionių bažnyčia skyla į katalikų ir stačiatikių bažnyčias. Schizma	https://lt.wikipedia.org/wiki/Schizma
1096			I kryžiaus žygis, kurio metu užimta Jeruzalė.	https://lt.wikipedia.org/wiki/Kry%C5%BEiaus_%C5%BEygiai#Pirmasis_kry.C5.BEiaus_.C5.BEygis_.281096.E2.80.931099.C2.A0m..29
1201			Daufuvs žiotyse vokiečiai įkuria Rygos miestą	https://lt.wikipedia.org/wiki/Rygos_istorija
1202			IV kryžiaus žygis	https://lt.wikipedia.org/wiki/Kry%C5%BEiaus_%C5%BEygiai#Ketvirtasis_kry.C5.BEiaus_.C5.BEygis_.281202.E2.80.931204.C2.A0m..29
1230			Įsikuria kryžiuočių arba Teutonų ordinas	https://lt.wikipedia.org/wiki/Vokie%C4%8Di%C5%B3_ordinas
1236			Saulės mūšis	https://lt.wikipedia.org/wiki/Saul%C4%97s_m%C5%AB%C5%A1is
1251			Mindaugo krikštas	https://lt.wikipedia.org/wiki/Mindaugas#1249.E2.80.931254.C2.A0m._vidaus_karas._Mindaugo_krik.C5.A1tas_ir_jo_i.C5.A1davos
1253			Mindaugo karūnavimas	https://lt.wikipedia.org/wiki/Mindaugas
1260			Durpės mūšis. Didžiojo prūsų sukilimo pradžia.	https://lt.wikipedia.org/wiki/Durb%C4%97s_m%C5%AB%C5%A1is
1263			Mindaugo nužudymas	https://lt.wikipedia.org/wiki/Mindaugas
1283			Prasidėjo nuolatiniai karo veiksmas su kryžiuočiais	http://viduramziu.istorija.net/c1283.htm
1302			Sušaukti pirmi generaliniai luomai Prancūzijoje.	https://lt.wikipedia.org/wiki/Pranc%C5%ABzijos_Generaliniai_luomai
1323			Vilnius pirmą kartą paminėtas rašytiniuose šaltiniuose.	
1336			Pilėnų gynimas	
1348			Strėvos mūšis	
1362			Kauno pilies sugriovimas	
1379			Jogailos ir Kęstučio paliaubos su ordinu	
1382			Dubysos sutartis tarp Jogailos ir kryžiuočių.	
1385			Krėvos sutartis.	
1387			Lietuvos krikštas	
1392			Astravos sutartis tarp Jogailos ir Vytauto.	
1397			Pirmoji mokykla Lietuvoje.	
1399			Vorsklos mūšis. Vytautas pralaimėjo prieš totorius.	
1401			Vilniaus-Radomo sutartis	
1409			Žemaičių sukilimas	
1410	7	15	Žalgirio mušis	
1411			Torūnės taika su kryžiuočiais.	
1413			Horodlės unija ir Žemaičių krikštas	
1415			Lietuviai laimėjo bylą prieš ordiną Konstancoje, Šveicarijoje	
1418			Žemaičių valstiečių sukilimas	
1422			Melno taika. Žemaitija visam laikui atiduota Lietuvai.	
1447			Baudžiavos pradžia.	
1492			Kristupas Kolumbas pasiekė Karibų salas	
1517			Reformacijos pradžia	
1522			Pirmoji spausdinta knyga Vilniuje	
1529			I. Lietuvos statutas	
1544			Įkurtas Karaliaučiaus universitetas	
1547			Pirmoji lietuviška knyga Mažvydo “Katekizmas”	
1557			Valakų reforma	
1561			Livonijos prijungimas prie Lietuvos	
1566			II Lietuvos statutas	
1569			Liublino unija	
